id,university_name
526,Institute of Chemical Technology
527,International Institute for Population Sciences
528,International Sports Univeristy
529,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya
530,Konkan Krishi Vidyapeeth
531,Krishna Vishwa Vidyapeeth (Formerly Krishna Institute of Medical Sciences)
532,Maharashtra Animal & Fishery Sciences University
533,Maharashtra Natinoal Law University
534,Maharashtra National Law University
535,Maharashtra University of Health Sciences
536,Maharashtra State Skills University
537,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalay
538,Mahatma Phule Krishi Vidyapeeth
539,Marathwada Agricultural University
540,MGM Institute of Health Sciences
541,MGM University
542,MIT Art Design & Technology University
543,Narsee Monjee Institute of Management Studies
544,NICMAR University
545,Kavayitri Bahinbai Chaudhari North Maharashtra University (Formarly North Maharashtra University) PB No. 80
546,Padmashree Dr. D.Y. Patil Vidyapeeth
547,Pravara Institute of Medical Sciences
548,Sanjay Ghodawat University
549,Savitribai Phule Pune University
550,Sant Gadge Baba Amravati University
551,Shivaji University
552,Smt. Nathibai Damodar Thackersey Women’s University
553,Punyashlok Ahilyadevi Holkar Solapur University (formerly Solapur University)
554,Somaiya Vidyavihar University
555,Spicer Adventist University
556,Sri Balaji University
557,Swami Ramanand Teerth Marathwada University
558,SYMBIOSIS International
559,Symbiosis Skills and Professional University (Formerly Symbiosis Skills and Open University)
560,Tata Institute of Fundamental Research
561,Tata Institute of Social Sciences
562,The Rashtrasant Tukadoji Maharaj Nagpur University
563,Tilak Maharashtra Vidyapeeth
564,University of Mumbai
565,Vijaybhoomi University
566,Vishwakarma University
567,Yashwant Rao Chavan Maharashtra Open University
568,Asian International University
569,Bir Tikendrajit University
570,Central Agricultural University
571,Dhanamanjuri University
572,Khongnangthaba University
573,Manipur International University
574,Manipur University
575,Manipur Technical University
576,Manipur University of Culture
577,National Sports University
578,Sangai International University
579,CMJ University
580,Martin Luther Christian University
581,North East Adventist University
582,North Eastern Hill University
583,University of Science & Technology
584,Maharashtra Institute of Technology University of Meghalaya (Formerly 27 University of Technology & Management)
585,William Carey University
586,Mizoram University
587,Nagaland University
588,North East Christian University
589,St. Joseph University
590,T he Global Open University
591,AIPH University
592,ASBM University
593,Berhampur University
594,Biju Patnaik University of Technology
595,Birla Global University
596,Central University of Odisha
597,C.V. Raman Global University
598,Fakir Mohan University
599,Gandhi Institute of Engineering & Technology University
600,Gangadhar Meher University
601,Kalinga Institute of Industrial Technology
602,Kalinga Institute of Social Sciences
603,Khallikote University
604,Kalahandi University
605,Madhusudan Law University
606,National law University
607,Maharaja Sriram Chandra Bhanja Deo University (Formerly North Orissa University)
608,Odisha State Open University
609,Odisha University of Technology and Research
610,Orissa University of Agriculture & Technology
611,Rajendra University
612,Rama Devi Women’s University
613,Ravenshaw University
614,Sambalpur University
615,Shiksha ‘O’ Anusandhan
616,Shri Jagannath Sanskrit Vishwavidyalaya
617,Sri Sri University
618,Utkal University
619,Utkal University of Culture
620,Veer Surendra Sai Institute of Medical Sciences and Research
621,Veer Surendra Sai University of Technology
622,XIM University (Formerly Xavier University)
623,Adesh University
624,Akal University
625,A mity University
626,Baba Farid University of Health Sciences
627,Central University of Punjab
628,Chandigarh University
629,C.T. University
630,D.A.V. University
631,Desh Bhagat University
632,GNA University
633,Guru Angad Dev Veterinary & Animal Sciences University
634,Guru Kashi University
635,Guru Nanak Dev University
636,Guru Ravidas Ayurved University
637,Jagat Guru Nanak Dev Punjab State Open University
638,Lamrin Tech Skills University
639,Lovely Professional University
640,Maharaja Ranjit Singh Punjab Technical University
641,Plaksha University Punjab
642,Punjab Agricultural University
643,Punjabi University
644,Rayat Bahra University
645,RIMT University
646,Sant Baba Bhag Singh University
647,Sant Longowal Institute of Engineering and Technology (SLIET)
648,Sardar Beant Singh State University
649,Shaheed Bhagat Singh State University
650,Sri Guru Granth Sahib World University
651,Sri Guru Ram Das University of Health Sciences
652,Sri Guru Teg Bahadur State University of Law
653,Thapar Institute of Engineering & Technology
654,The I.K. Gujaral Punjab Technical University
655,The Maharaja Bhupinder Singh Punjab Sports University
656,The Rajiv Gandhi National University of Law
657,Amity University Rajasthan
658,Apex University
659,Agriculture University
660,Banasthali Vidyapith
661,Bhagwant University
662,Bhartiya Skill Development University
663,Bhupal Nobles University
664,Bikaner Technical University
665,Birla Institute of Technology & Science
666,Central University of Rajasthan
667,Dr. Bhimrao Ambedkar Law University
668,Dr. K.N. Modi University
669,Geetanjali University
670,Govind Guru Tribal University
671,Haridev Joshi University of Journalism and Mass Communication
672,HomoeopathyUniversity
673,IIHMR University
674,IIS
675,Institute of Advanced Studies in Education
676,Jagadguru Ramanandacharya Rajasthan Sanskrit University
677,Jai Narain Vyas University
678,Jain Vishva Bharati Institute
679,Jaipur National University
680,Janardan Rai Nagar Rajasthan Vidyapeeth
681,Jodhpur National University
682,Jayoti Vidyapeeth Women’s University
683,J.K. Lakshmipat University
684,J.E.C.R.C. University
685,The LNM Institute of Information Technology
686,Lords University
687,Madhav University
688,Maharaja Ganga Singh University
689,Maharana Pratap University of Agriculture & Technology
690,Maharishi Dayanand Saraswati University
691,Mahatma Jyoti Rao Phule University
692,Mahatma Gandhi University of Medical Sciences & Technology
693,Maharaj Vinayak Global University
694,Maharaja Surajmal Brij University
695,Maharishi Arvind University
696,Manipal University
697,Maulana Azad University
698,M.B.M. University
699,Mewar University
700,Mody University of Science and Technology
701,Mohan Lal Sukhadia University
702,National Institute of Ayurveda (NIA)
703,Nims University Rajasthan
704,NIIT University
705,Nirwan University
706,OPJS University
707,Pacific Academy of Higher Education & Research University
708,Pacific Medical University
709,Pandit Deendayal Upadhyaya Shekhawati University (Formerly Shekhawati University)
710,Poornima University
711,Pratap University
712,Raffles University
713,Rajasthan Agricultural University
714,Rajasthan Ayurveda University
715,Rajasthan Technical University
716,Rajasthan University of Health Sciences
717,Rajasthan University of Veterinary & Animal Sciences
718,Rajasthan ILD Skills University (RISU)
719,Raj Rishi Bhartrihari Matsya University
720,R.N.B. Global University
721,Sai Tirupati University
722,Sangam University
723,Sardar Patel University of Police
724,Shri Jagdish Prasad Jhabarmal Tibrewala University
725,Shridhar University
726,Shri Kallaji Vedic Vishvavidyalaya
727,Shri Khushal Das University
728,Shyam University
729,Singhania University
730,Sir Padmapat Singhania University
731,Suresh Gyan Vihar University
732,Sunrise University
733,Tantia University
734,University of Kota
735,University of Engineering & Management
736,University of Rajasthan
737,University of Technology
738,Vardhman Mahaveer Open University
739,Vivekananda Global University
740,Medhavi Skills University
741,Sikkim Alpine University (Formerly EIILM University)
742,Sikkim International University
743,Sikkim Manipal University
744,Sikkim National Law University
745,Sikkim Skill University
746,Khangchendzonga State University (Formerly Sikkim State University)
747,Sikkim University
748,Shri Ramasamy Memorial University
749,Sikkim Professional University (Formerly Vinayaka Missions Sikkim University)
750,Academy of Maritime Education and Training
751,Alagappa University
752,Amrita Vishwa Vidyapeetham
753,Anna University
754,Annamalai University
755,Avinashilingam Institute for Home Science & Higher Education for Women
756,B.S. Abdur Rahman Crescent Institute of Science and Technology
757,Bharath Institute of Higher Education & Research
758,Bharathiar University
759,Bharathidasan University
760,Central University of Tamil Nadu
761,Chennai Mathematical Institute
762,Chettinad Academy of Research and Education (CARE)
763,Dhanalakshmi Srinivasan University
764,Dr. M.G.R. Educational and Research Institute
765,Gandhigram Rural Institute
766,Hindustan Institute of Technology and Science (HITS)
767,Indian Maritime University
768,Jeppiaar University
769,Kalasalingam Academy of Research and Higher Education
770,Karpagam Academy of Higher Education
771,Karunya Institute of Technology and Sciences
772,Madurai Kamraj University
773,Manonmaniam Sundarnar University
774,Meenakshi Academy of Higher Education and Research
775,Mother Teresa Women’s University
776,Noorul Islam Centre for Higher Education
777,Periyar Maniammai Institute of Science & Technology (PMIST)
778,Periyar University
779,Ponnaiyah Ramajayam Institute of Science & Technology (PRIST)
780,Sai University
781,S.R.M. Institute of Sciences and Technology
782,Sathyabama Institute of Science and Technology
783,Saveetha Institute of Medical and Technical Sciences
784,Shanmugha Arts
785,Shiv Nadar University
786,Sri Chandrasekharandra Saraswati Vishwa Mahavidyalaya
787,Sri Ramachandra Medical College and Research Institute
788,St. Peter’s Institute of Higher Education and Research
789,Tamil Nadu Teacher Education University
790,Tamil University
791,Tamilnadu Agricultural University
792,Tamilnadu Dr. Ambedkar Law University
793,Tamilnadu Dr. M.G.R. Medical University
794,Tamilnadu Fisheries University
795,Tamilnadu Music and Fine Arts University
796,Tamilnadu National Law School
797,Tamilnadu Open University
798,Tamilnadu Physical Education and Sports University
799,Tamilnadu Veterinary & Animal Sciences University
800,Thiruvalluvar University
801,University of Madras
802,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology
803,Vel’s Institute of Science
804,Vellore Institute of Technology
805,Vinayaka Mission’s Research Foundation
806,Anurag University
807,Aurora Higher Education & Research Academy
808,Chaitanya (Deemed to be University)
809,Dr. B.R. Ambedkar Open University
810,ICFAI Foundation for Higher Education
811,Jawaharlal Nehru Architecture and Fine Arts University
812,Kakatiya University
813,Kaloji Narayan Rao University of Health Sciences
814,Mahindra University Bahadurpaly(V)
815,Malla Reddy University
816,Maulana Azad National Urdu University
817,NALSAR University of Law
818,Nizam’s Institute of Medical Sciences
819,Osmania University
820,PalamuruUniversity
821,Potti Sreeramulu Telugu University
822,Professor Jayashankar Telangana State Agricultural University (Formerly Archarya N.G Ranga Agricultural University)
823,Rajiv Gandhi University of Knowledge Technologies
824,Satavahana University
825,Sri Konda Laxman Telangana State Horticultural University
826,P.V. Narsimha Rao Telangana Veterinary University
827,SR University
828,Telangana University
829,The English and Foreign Languages University
830,University of Hyderabad
831,Woxsen University
832,The ICFAI University
833,Maharaja Bir Bikram University
834,Tripura University
835,Aligarh Muslim University
836,Prof. Rajendra Singh (Rajju Bhaiya) University (Formerly Allahabad State University
837,Atal Bihari Vajpayee Medical University
838,Babasaheb Bhimrao Ambedkar University
839,Banaras Hindu University
840,Banda University of Agriculture & Technology
841,Bareilly International University
842,Bennett University
843,Bhatkhande Music Institute
844,Bundelkhand University
845,Babu Banarasi Das University
846,Central Institute of Higher Tibetan Studies
847,Chandra Shekhar Azad University of Agriculture & Technology
848,Chhatrapati Shahu Ji Maharaj University
